Restaurant Name,Full Address,City,Michelin Rating,Price Range Text,Cuisine Type,URL,Latitude,Longitude,Review,Award
Dosa by Akira Back,"Mandarin Oriental Mayfair, 22 Hanover Square, Mayfair, London, W1S 1JP, GBR",London,1 Star,Spare no expense,Korean,https://guide.michelin.com/en/greater-london/london/restaurant/dosa-1215793,51.5132954,-0.144065,"{'@type': 'Review', 'datePublished': '2025-02-10T02:37', 'name': 'Dosa by Akira Back', 'description': ""Inside the Mandarin Oriental Mayfair hotel, you'll find this top-drawer Korean restaurant. There's only one sitting, so wait for your fellow guests to arrive before taking your place at the ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Row on 5,"5 Savile Row, Mayfair, London, W1S 3PB, GBR",London,1 Star,Spare no expense,Modern Cuisine,https://guide.michelin.com/en/greater-london/london/restaurant/row-on-5,51.5105221,-0.1397601,"{'@type': 'Review', 'datePublished': '2025-02-10T02:37', 'name': 'Row on 5', 'description': 'The name of Jason Atherton¡¯s flagship operation derives from ¡®Refinement of Work¡¯ ? and indeed there is a great deal of refinement in every inch of this mightily impressive restaurant. The ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Cornus,"27c Eccleston Place, Belgravia, London, SW1W 9NF, GBR",London,1 Star,Spare no expense,Modern British,https://guide.michelin.com/en/greater-london/london/restaurant/cornus,51.4942405,-0.1477227,"{'@type': 'Review', 'datePublished': '2025-02-10T02:37', 'name': 'Cornus', 'description': 'There¡¯s a wonderful fusion of setting and cooking at Cornus. A sister to long-standing Chelsea restaurant Medlar, it¡¯s a refined, simply decorated restaurant with linen-laid tables and understated...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
OMA,"3 Bedale Street, Borough Market, London, SE1 9AL, GBR",London,1 Star,Special occasion,Greek,https://guide.michelin.com/en/greater-london/london/restaurant/oma-1213973,51.5053331,-0.0897239,"{'@type': 'Review', 'datePublished': '2025-02-10T02:36', 'name': 'OMA', 'description': 'Find the subtle little sign and then head upstairs to this lively, hugely fun restaurant serving thrilling cooking from Greece and beyond. This is the spot that the capital¡¯s Hellenic food ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
KOL,"9 Seymour Street, Marylebone, London, W1H 7BA, GBR",London,1 Star,Spare no expense,Mexican,https://guide.michelin.com/en/greater-london/london/restaurant/kol,51.5147873,-0.1574918,"{'@type': 'Review', 'datePublished': '2025-02-10T02:35', 'name': 'KOL', 'description': '¡®Mexican soul, British ingredients¡¯ is the tagline of this big, bold restaurant, and it proves an exhilarating combination. The kitchen adds creativity and impressive modern technique to ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Endo at The Rotunda,"The Helios, 101 Wood Lane, Shepherd's Bush, London, W12 7FR, GBR",London,1 Star,Spare no expense,Japanese,https://guide.michelin.com/en/greater-london/london/restaurant/endo-at-the-rotunda,51.51159,-0.22487,"{'@type': 'Review', 'datePublished': '2025-02-10T02:35', 'name': 'Endo at The Rotunda', 'description': ""The former BBC TV Centre may be an unlikely setting for a restaurant, but it's a match made in sushi heaven for this flagship venture from Yokohama-born Endo Kazutoshi. The experienced, ..."", 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
AngloThai,"22 Seymour Place, Marylebone, London, W1H 7NL, GBR",London,1 Star,Special occasion,Thai,https://guide.michelin.com/en/greater-london/london/restaurant/anglothai,51.515139,-0.161181,"{'@type': 'Review', 'datePublished': '2025-02-10T02:34', 'name': 'AngloThai', 'description': '¡®Rooted in Thailand, Uniquely British¡¯ is the tagline of this joyfully run restaurant from John and Desiree Chantarasak ? John is half-Thai, half-British, a duality that informs his cuisine. The ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Plates London,"320 Old Street, Hoxton, London, EC1V 9DR, GBR",London,1 Star,Special occasion,Vegan,https://guide.michelin.com/en/greater-london/london/restaurant/plates-london,51.5265904,-0.0819587,"{'@type': 'Review', 'datePublished': '2025-02-10T02:33', 'name': 'Plates London', 'description': 'There¡¯s an appropriately earthy, natural vibe to this elegant restaurant dedicated to promoting plant-based cuisine. The slate floor, warm hues and rustic plastering help it feel stripped-back yet...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Sollip,"Unit 1, 8 Melior Street, Southwark, London, SE1 3QP, GBR",London,1 Star,Spare no expense,Creative,https://guide.michelin.com/en/greater-london/london/restaurant/sollip,51.5025583,-0.0846577,"{'@type': 'Review', 'datePublished': '2025-02-10T02:33', 'name': 'Sollip', 'description': 'All is calmness and tranquillity once you step inside this cool, understated room in pastel shades ? you¡¯ll find yourself instantly forgetting all the bustle outside. The Korean husband-and-wife ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
Muse by Tom Aikens,"38 Groom Place, Belgravia, London, SW1X 7BA, GBR",London,1 Star,Spare no expense,Creative,https://guide.michelin.com/en/greater-london/london/restaurant/muse-1188132,51.4994673,-0.1509184,"{'@type': 'Review', 'datePublished': '2025-02-10T02:32', 'name': 'Muse by Tom Aikens', 'description': 'With seating for just 23 customers, there¡¯s an intimate, almost communal feel to events at this restaurant inside a delightful Georgian townhouse in a charming Belgravia mews ? which partly ...', 'author': {'@type': 'Person', 'name': 'Michelin Inspector'}}","{'@type': 'Award', 'awardFor': 'One Star: High quality cooking', 'awardedBy': {'@type': 'Organization', 'name': 'Michelin'}, 'dateAwarded': '2025'}"
